Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:34:46 PM,119766475,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016699163935483614,1.19766475E8,0.0,1.19766475E8,1.19766475E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008349581967741807,0.008349581967741807,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.19766475E8,0.0,1.19766475E8,1.19766475E8,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:37:17 PM,54402038,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0551449929136846,2.7201019E7,3.0001034588301282E7,4.8414954E7,5987084.0,5987084.0,5987084.0,0.0,5987084.0,5987084.0,0,0,0,0,0,0,0,0,0,0,0,0.03676332860912306,0.01838166430456153,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,2.7201019E7,3.0001034588301282E7,4.8414954E7,5987084.0,No Label
0.3.10.0-56.174.10.0-0-0-0,56.174.10.0,0,0.3.10.0,0,0,13/05/2024 01:05:51 PM,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:46:32 PM,61056889,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04913450470756871,3.05284445E7,5511055.195172745,3.4425349E7,2.663154E7,3.4425349E7,3.4425349E7,0.0,3.4425349E7,3.4425349E7,0,0,0,0,0,0,0,0,0,0,0,0.03275633647171247,0.016378168235856236,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,3.05284445E7,5511055.195172745,3.4425349E7,2.663154E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 02:03:04 PM,20211311,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09895449137366696,2.0211311E7,0.0,2.0211311E7,2.0211311E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04947724568683348,0.04947724568683348,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,2.0211311E7,0.0,2.0211311E7,2.0211311E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 02:13:14 PM,103268885,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019366917731318586,1.03268885E8,0.0,1.03268885E8,1.03268885E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009683458865659293,0.009683458865659293,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.03268885E8,0.0,1.03268885E8,1.03268885E8,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 02:15:18 PM,105115736,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01902664697129648,1.05115736E8,0.0,1.05115736E8,1.05115736E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00951332348564824,0.00951332348564824,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.05115736E8,0.0,1.05115736E8,1.05115736E8,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 02:17:30 PM,102527568,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01950694860917797,1.02527568E8,0.0,1.02527568E8,1.02527568E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009753474304588986,0.009753474304588986,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.02527568E8,0.0,1.02527568E8,1.02527568E8,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 02:21:44 PM,84682939,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02361750812640076,8.4682939E7,0.0,8.4682939E7,8.4682939E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01180875406320038,0.01180875406320038,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,8.4682939E7,0.0,8.4682939E7,8.4682939E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 02:28:26 PM,110321072,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027193354321285057,5.5160536E7,1.5736918802174967E7,6.6288218E7,4.4032854E7,4.4032854E7,4.4032854E7,0.0,4.4032854E7,4.4032854E7,0,0,0,0,0,0,0,0,0,0,0,0.018128902880856706,0.009064451440428353,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.5160536E7,1.5736918802174967E7,6.6288218E7,4.4032854E7,No Label
