Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 06:03:22 PM,10049409,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19901667849323276,1.0049409E7,0.0,1.0049409E7,1.0049409E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09950833924661638,0.09950833924661638,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.0049409E7,0.0,1.0049409E7,1.0049409E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 06:11:53 PM,115356054,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017337624950312533,1.15356054E8,0.0,1.15356054E8,1.15356054E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008668812475156266,0.008668812475156266,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.15356054E8,0.0,1.15356054E8,1.15356054E8,No Label
188.203.172.217-18.35.192.168-0-0-0,188.203.172.217,0,18.35.192.168,0,0,13/05/2024 06:37:36 PM,31584,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.32320162107396,31584.0,0.0,31584.0,31584.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.66160081053698,31.66160081053698,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
201.78.192.168-35.127.142.250-0-0-0,35.127.142.250,0,201.78.192.168,0,0,13/05/2024 07:38:32 PM,11637,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.79840164990975,5818.5,8228.601612667853,11637.0,0.0,11637.0,11637.0,0.0,11637.0,11637.0,0,0,0,0,0,0,0,0,0,0,0,171.86560109993985,85.93280054996993,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
184.174.192.168-50.31.142.250-0-0-0,50.31.142.250,0,184.174.192.168,0,0,13/05/2024 06:17:17 PM,15130,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.18770654329148,15130.0,0.0,15130.0,15130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09385327164574,66.09385327164574,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
